day,Country,Country Name,Region,Deaths,Cumulative Deaths,Confirmed,Cumulative Confirmed
2020-01-28,DE,Germany,EURO,0,0,4,4
2020-01-29,DE,Germany,EURO,0,0,0,4
2020-01-30,DE,Germany,EURO,0,0,0,4
2020-01-31,DE,Germany,EURO,0,0,3,7
2020-02-01,DE,Germany,EURO,0,0,1,8
2020-02-02,DE,Germany,EURO,0,0,2,10
2020-02-03,DE,Germany,EURO,0,0,0,10
2020-02-04,DE,Germany,EURO,0,0,2,12
2020-02-05,DE,Germany,EURO,0,0,0,12
2020-02-06,DE,Germany,EURO,0,0,1,13
2020-02-07,DE,Germany,EURO,0,0,1,14
2020-02-08,DE,Germany,EURO,0,0,0,14
2020-02-09,DE,Germany,EURO,0,0,0,14
2020-02-10,DE,Germany,EURO,0,0,0,14
2020-02-11,DE,Germany,EURO,0,0,2,16
2020-02-12,DE,Germany,EURO,0,0,0,16
2020-02-13,DE,Germany,EURO,0,0,0,16
2020-02-14,DE,Germany,EURO,0,0,0,16
2020-02-15,DE,Germany,EURO,0,0,0,16
2020-02-16,DE,Germany,EURO,0,0,0,16
2020-02-17,DE,Germany,EURO,0,0,0,16
2020-02-18,DE,Germany,EURO,0,0,0,16
2020-02-19,DE,Germany,EURO,0,0,0,16
2020-02-20,DE,Germany,EURO,0,0,0,16
2020-02-21,DE,Germany,EURO,0,0,0,16
2020-02-22,DE,Germany,EURO,0,0,0,16
2020-02-23,DE,Germany,EURO,0,0,0,16
2020-02-24,DE,Germany,EURO,0,0,0,16
2020-02-25,DE,Germany,EURO,0,0,2,18
2020-02-26,DE,Germany,EURO,0,0,3,21
2020-02-27,DE,Germany,EURO,0,0,5,26
2020-02-28,DE,Germany,EURO,0,0,31,57
2020-02-29,DE,Germany,EURO,0,0,0,57
2020-03-01,DE,Germany,EURO,0,0,72,129
2020-03-02,DE,Germany,EURO,0,0,29,158
2020-03-03,DE,Germany,EURO,0,0,38,196
2020-03-04,DE,Germany,EURO,0,0,66,262
2020-03-05,DE,Germany,EURO,0,0,138,400
2020-03-06,DE,Germany,EURO,0,0,239,639
2020-03-07,DE,Germany,EURO,0,0,156,795
2020-03-08,DE,Germany,EURO,0,0,107,902
2020-03-09,DE,Germany,EURO,2,2,237,1139
2020-03-10,DE,Germany,EURO,0,2,157,1296
2020-03-11,DE,Germany,EURO,1,3,271,1567
2020-03-12,DE,Germany,EURO,0,3,0,1567
2020-03-13,DE,Germany,EURO,0,3,693,2260
2020-03-14,DE,Germany,EURO,5,8,1535,3795
2020-03-15,DE,Germany,EURO,4,12,1043,4838
2020-03-16,DE,Germany,EURO,0,12,1174,6012
2020-03-17,DE,Germany,EURO,0,12,1144,7156
2020-03-18,DE,Germany,EURO,0,12,1042,8198
2020-03-19,DE,Germany,EURO,8,20,2801,10999
2020-03-20,DE,Germany,EURO,25,45,7324,18323
2020-03-21,DE,Germany,EURO,22,67,3140,21463
2020-03-22,DE,Germany,EURO,0,67,0,21463
2020-03-23,DE,Germany,EURO,27,94,3311,24774
2020-03-24,DE,Germany,EURO,32,126,4438,29212
2020-03-25,DE,Germany,EURO,23,149,2342,31554
2020-03-26,DE,Germany,EURO,49,198,4954,36508
2020-03-27,DE,Germany,EURO,55,253,5780,42288
2020-03-28,DE,Germany,EURO,72,325,6294,48582
2020-03-29,DE,Germany,EURO,64,389,3965,52547
2020-03-30,DE,Germany,EURO,66,455,4751,57298
2020-03-31,DE,Germany,EURO,128,583,4615,61913
2020-04-01,DE,Germany,EURO,149,732,5453,67366
2020-04-02,DE,Germany,EURO,140,872,6156,73522
2020-04-03,DE,Germany,EURO,145,1017,6174,79696
2020-04-04,DE,Germany,EURO,141,1158,6082,85778
2020-04-05,DE,Germany,EURO,184,1342,5936,91714
2020-04-06,DE,Germany,EURO,92,1434,3677,95391
2020-04-07,DE,Germany,EURO,173,1607,3834,99225
2020-04-08,DE,Germany,EURO,254,1861,4003,103228
2020-04-09,DE,Germany,EURO,246,2107,4974,108202
2020-04-10,DE,Germany,EURO,266,2373,5323,113525
2020-04-11,DE,Germany,EURO,171,2544,4133,117658
2020-04-12,DE,Germany,EURO,129,2673,2821,120479
2020-04-13,DE,Germany,EURO,126,2799,2537,123016
2020-04-14,DE,Germany,EURO,170,2969,2082,125098
