AnnoA,AteneoCOD,AteneoNOME,Ateneo_TIPO,Istituto_TIPO,Sesso,Isc
2019/2020,06202,Benevento Giustino Fortunato - telematica,private   ,UT,M,630
2019/2020,05816,Roma San Raffaele - telematica,private   ,UT,M,3757
2019/2020,05817,Roma Link Campus,private   ,U,F,265
2019/2020,05817,Roma Link Campus,private   ,U,M,624
2019/2020,05818,Roma Saint Camillus,private   ,U,F,353
2019/2020,05818,Roma Saint Camillus,private   ,U,M,185
2019/2020,06001,Cassino,public    ,U,F,3775
2019/2020,06001,Cassino,public    ,U,M,3271
2019/2020,06201,Sannio,public    ,U,F,2237
2019/2020,05802,Roma Tor Vergata,public    ,U,M,12587
2019/2020,06202,Benevento Giustino Fortunato - telematica,private   ,UT,F,616
2019/2020,05814,Roma  Mercatorum - telematica,private   ,UT,F,1241
2019/2020,06301,Napoli Federico II,public    ,U,F,40308
2019/2020,06301,Napoli Federico II,public    ,U,M,32767
2019/2020,06302,Napoli Parthenope,public    ,U,F,4603
2019/2020,06302,Napoli Parthenope,public    ,U,M,6090
2019/2020,06303,Napoli L'Orientale,public    ,U,F,9257
2019/2020,06303,Napoli L'Orientale,public    ,U,M,2334
2019/2020,06304,Napoli Benincasa,private   ,U,F,7086
2019/2020,06304,Napoli Benincasa,private   ,U,M,1237
2019/2020,06306,Napoli Vanvitelli,public    ,U,F,13468
2019/2020,06201,Sannio,public    ,U,M,2085
2019/2020,05809,Roma UNINT,private   ,U,M,356
2019/2020,05803,Roma LUMSA,private   ,U,F,4262
2019/2020,05803,Roma LUMSA,private   ,U,M,1887
2019/2020,05805,Roma LUISS,private   ,U,F,4282
2019/2020,05805,Roma LUISS,private   ,U,M,5141
2019/2020,05806,Roma Foro Italico,public    ,U,F,562
2019/2020,05806,Roma Foro Italico,public    ,U,M,1516
2019/2020,05807,Roma Tre,public    ,U,F,18238
2019/2020,05807,Roma Tre,public    ,U,M,12428
2019/2020,05808,Roma Biomedico,private   ,U,F,1241
2019/2020,05816,Roma San Raffaele - telematica,private   ,UT,F,2913
2019/2020,05809,Roma UNINT,private   ,U,F,1424
2019/2020,05814,Roma  Mercatorum - telematica,private   ,UT,M,2687
2019/2020,05810,Roma Marconi - telematica,private   ,UT,F,5156
2019/2020,05810,Roma Marconi - telematica,private   ,UT,M,4965
2019/2020,05811,Roma UNITELMA - telematica,private   ,UT,F,1039
