AnnoA;ClasseNUMERO;ClasseNOME;Isc_M;Isc_F
2019/2020;1;Biotecnologie;34;96
2019/2020;1/S;Specialistiche in antropologia culturale ed etnologia;2;9
2019/2020;10;Ingegneria industriale;914;175
2019/2020;10/S;Specialistiche in conservazione dei beni architettonici e ambientali;;1
2019/2020;100/S;Specialistiche in tecniche e metodi per la societa dell'informazione;2;1
2019/2020;101/S;Specialistiche in teoria della comunicazione;2;4
2019/2020;102/S;Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica;1;
2019/2020;103/S;Specialistiche in teorie e metodi del disegno industriale;4;2
2019/2020;104/S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;1;14
2019/2020;11;Lingue e culture moderne;106;500
2019/2020;12;Scienze biologiche;113;458
2019/2020;12/S;Specialistiche in conservazione e restauro del patrimonio storico-artistico;;1
2019/2020;13;Scienze dei beni culturali;116;457
2019/2020;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;8;10
2019/2020;14;Scienze della comunicazione;145;274
2019/2020;14/S;Specialistiche in farmacia e farmacia industriale;604;1679
2019/2020;15;Scienze politiche e delle relazioni internazionali;191;208
2019/2020;15/S;Specialistiche in filologia e letterature dell'antichita;3;8
2019/2020;16;Scienze della Terra;40;17
2019/2020;16/S;Specialistiche in filologia moderna;7;36
2019/2020;17;Scienze dell'economia e della gestione aziendale;705;859
2019/2020;17/S;Specialistiche in filosofia e storia della scienza;1;1
2019/2020;18;Scienze dell'educazione e della formazione;112;1727
2019/2020;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;8;8
2019/2020;19;Scienze dell'amministrazione;125;115
2019/2020;19/S;Specialistiche in finanza;3;4
2019/2020;2;Scienze dei servizi giuridici;142;153
2019/2020;2/S;Specialistiche in archeologia;5;10
2019/2020;20;Scienze e tecnologie agrarie, agroalimentari e forestali;197;127
2019/2020;20/S;Specialistiche in fisica;11;7
2019/2020;21;Scienze e tecnologie chimiche;79;78
2019/2020;21/S;Specialistiche in geografia;3;2
2019/2020;22;Scienze e tecnologie della navigazione marittima e aerea;3;1
2019/2020;22/S;Specialistiche in giurisprudenza;50;85
2019/2020;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;52;99
2019/2020;23/S;Specialistiche in informatica;39;12
2019/2020;24;Scienze e tecnologie farmaceutiche;58;205
2019/2020;24/S;Specialistiche in informatica per le discipline umanistiche;1;
2019/2020;25;Scienze e tecnologie fisiche;94;45
2019/2020;25/S;Specialistiche in ingegneria aerospaziale e astronautica;13;1
2019/2020;26;Scienze e tecnologie informatiche;399;67
2019/2020;26/S;Specialistiche in ingegneria biomedica;5;7
2019/2020;27;Scienze e tecnologie per l'ambiente e la natura;60;70
2019/2020;27/S;Specialistiche in ingegneria chimica;2;4
2019/2020;28;Scienze economiche;237;310
2019/2020;28/S;Specialistiche in ingegneria civile;30;9
2019/2020;29;Filosofia;96;117
2019/2020;29/S;Specialistiche in ingegneria dell'automazione;7;3
2019/2020;3;Scienze della mediazione linguistica;38;193
2019/2020;3/S;Specialistiche in architettura del paesaggio;1;4
2019/2020;30;Scienze geografiche;15;14
2019/2020;30/S;Specialistiche in ingegneria delle telecomunicazioni;15;3
2019/2020;31;Scienze giuridiche;226;417
2019/2020;31/S;Specialistiche in ingegneria elettrica;8;1
2019/2020;32;Scienze matematiche;62;102
2019/2020;32/S;Specialistiche in ingegneria elettronica;25;6
2019/2020;33;Scienze delle attivita motorie e sportive;187;92
2019/2020;33/S;Specialistiche in ingegneria energetica e nucleare;8;3
2019/2020;34;Scienze e tecniche psicologiche;140;516
2019/2020;34/S;Specialistiche in ingegneria gestionale;20;13
2019/2020;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;17;26
2019/2020;35/S;Specialistiche in ingegneria informatica;57;6
2019/2020;36;Scienze sociologiche;44;103
2019/2020;36/S;Specialistiche in ingegneria meccanica;40;4
2019/2020;37;Scienze statistiche;16;15
2019/2020;37/S;Specialistiche in ingegneria navale;3;
2019/2020;38;Scienze storiche;107;70
2019/2020;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;18;13
2019/2020;39;Scienze del turismo;18;97
2019/2020;39/S;Specialistiche in interpretariato di conferenza;;2
2019/2020;4;Scienze dell'architettura e dell'ingegneria edile;230;197
2019/2020;4/S;Specialistiche in architettura e ingegneria edile;627;726
2019/2020;40;Scienze e tecnologie zootecniche e delle produzioni animali;13;61
2019/2020;40/S;Specialistiche in lingua e cultura italiana;2;3
2019/2020;41;Tecnologie per la conservazione e il restauro dei beni culturali;3;12
2019/2020;41/S;Specialistiche in lingue e letterature afroasiatiche;2;
2019/2020;42;Disegno industriale;23;17
2019/2020;42/S;Specialistiche in lingue e letterature moderne euroamericane;4;27
2019/2020;43/S;Specialistiche in lingue straniere per la comunicazione internazionale;2;24
2019/2020;44/S;Specialistiche in linguistica;1;5
2019/2020;45/S;Specialistiche in matematica;6;13
2019/2020;46/S;Specialistiche in medicina e chirurgia;1154;1774
2019/2020;47/S;Specialistiche in medicina veterinaria;119;354
2019/2020;5;Lettere;139;501
2019/2020;5/S;Specialistiche in archivistica e biblioteconomia;1;7
2019/2020;50/S;Specialistiche in modellistica matematico-fisica per l'ingegneria;;1
2019/2020;51/S;Specialistiche in musicologia e beni musicali;2;1
2019/2020;52/S;Specialistiche in odontoiatria e protesi dentaria;70;40
2019/2020;53/S;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;1;4
2019/2020;54/S;Specialistiche in pianificazione territoriale urbanistica e ambientale;1;2
2019/2020;55/S;Specialistiche in progettazione e gestione dei sistemi turistici;1;
2019/2020;56/S;Specialistiche in programmazione e gestione dei servizi educativi e formativi;;9
2019/2020;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;4;53
2019/2020;58/S;Specialistiche in psicologia;12;79
2019/2020;59/S;Specialistiche in pubblicita e comunicazione d'impresa;1;4
2019/2020;6;Scienze del servizio sociale;18;187
2019/2020;6/S;Specialistiche in biologia;9;14
2019/2020;60/S;Specialistiche in relazioni internazionali;14;16
2019/2020;61/S;Specialistiche in scienza e ingegneria dei materiali;5;
2019/2020;62/S;Specialistiche in scienze chimiche;4;2
2019/2020;64/S;Specialistiche in scienze dell'economia;15;10
2019/2020;65/S;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;2;7
2019/2020;66/S;Specialistiche in scienze dell'universo;2;
2019/2020;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;2;3
2019/2020;68/S;Specialistiche in scienze della natura;;6
2019/2020;69/S;Specialistiche in scienze della nutrizione umana;1;2
2019/2020;7;Urbanistica e scienze della pianificazione territoriale e ambientale;31;11
2019/2020;70/S;Specialistiche in scienze della politica;11;12
2019/2020;71/S;Specialistiche in scienze delle pubbliche amministrazioni;15;10
2019/2020;72/S;Specialistiche in scienze delle religioni;;2
2019/2020;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;4;7
2019/2020;74/S;Specialistiche in scienze e gestione delle risorse rurali e forestali;1;
2019/2020;75/S;Specialistiche in scienze e tecnica dello sport;6;
2019/2020;76/S;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;5;5
2019/2020;77/S;Specialistiche in scienze e tecnologie agrarie;5;5
2019/2020;78/S;Specialistiche in scienze e tecnologie agroalimentari;1;2
2019/2020;79/S;Specialistiche in scienze e tecnologie agrozootecniche;;1
2019/2020;8;Ingegneria civile e ambientale;432;192
2019/2020;8/S;Specialistiche in biotecnologie industriali;;2
2019/2020;81/S;Specialistiche in scienze e tecnologie della chimica industriale;1;
2019/2020;82/S;Specialistiche in scienze e tecnologie per l'ambiente e il territorio;1;
2019/2020;83/S;Specialistiche in scienze economiche per l'ambiente e la cultura;2;2
2019/2020;84/S;Specialistiche in scienze economico-aziendali;62;65
2019/2020;86/S;Specialistiche in scienze geologiche;4;2
2019/2020;87/S;Specialistiche in scienze pedagogiche;4;19
2019/2020;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;2;3
2019/2020;89/S;Specialistiche in sociologia;6;16
2019/2020;9;Ingegneria dell'informazione;827;134
2019/2020;9/S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;1;2
2019/2020;90/S;Specialistiche in statistica demografica e sociale;2;1
2019/2020;91/S;Specialistiche in statistica economica, finanziaria ed attuariale;;6
2019/2020;92/S;Specialistiche in statistica per la ricerca sperimentale;2;
2019/2020;93/S;Specialistiche in storia antica;1;
2019/2020;94/S;Specialistiche in storia contemporanea;3;6
2019/2020;95/S;Specialistiche in storia dell'arte;1;23
2019/2020;96/S;Specialistiche in storia della filosofia;6;8
2019/2020;97/S;Specialistiche in storia medievale;2;3
2019/2020;98/S;Specialistiche in storia moderna;1;3
2019/2020;99/S;Specialistiche in studi europei;2;6
2019/2020;DS/1;Scienze della difesa e della sicurezza;41;19
2019/2020;DS/S;Specialistiche nelle scienze della difesa e della sicurezza;20;4
2019/2020;L/DS;Scienze della difesa e della sicurezza;899;299
2019/2020;L/GASTR;Scienze, culture e politiche della gastronomia;514;462
2019/2020;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;11327;35157
2019/2020;L/SNT2;Professioni sanitarie della riabilitazione;5143;9206
2019/2020;L/SNT3;Professioni sanitarie tecniche;3552;6012
2019/2020;L/SNT4;Professioni sanitarie della prevenzione;1172;1484
2019/2020;L-1;Beni culturali;5280;15504
2019/2020;L-10;Lettere;9563;24826
2019/2020;L-11;Lingue e culture moderne;9512;38966
